year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,delay_rate,avg_airline_delay_rate,avg_airport_delay_rate
2020,12,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",44.0,3.0,1.63,0.0,0.12,1.25,0.0,1.0,89.0,56.0,0.0,3.0,30.0,0.06818181818181818,0.1271948327909665,0.1304166117248181
2020,12,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",90.0,1.0,0.96,0.0,0.04,0.0,0.0,0.0,23.0,22.0,0.0,1.0,0.0,0.011111111111111112,0.1271948327909665,0.07345679012345678
2020,12,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",88.0,8.0,5.75,0.0,1.6,0.65,0.0,1.0,338.0,265.0,0.0,45.0,28.0,0.09090909090909091,0.1271948327909665,0.10451781239505024
2020,12,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",184.0,9.0,4.17,0.0,1.83,3.0,0.0,0.0,508.0,192.0,0.0,92.0,224.0,0.04891304347826087,0.1271948327909665,0.10079111916433404
2020,12,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",76.0,11.0,4.78,0.0,5.22,1.0,1.0,0.0,692.0,398.0,0.0,178.0,116.0,0.14473684210526316,0.1271948327909665,0.21383366935791753
2020,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5985.0,445.0,142.89,11.96,161.37,127.79,5.0,0.0,30756.0,16390.0,1509.0,5060.0,7781.0,0.07435254803675856,0.1271948327909665,0.15540547753183928
2020,12,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",142.0,14.0,5.36,0.0,7.7,0.94,1.0,0.0,436.0,162.0,0.0,182.0,92.0,0.09859154929577464,0.1271948327909665,0.14276481187279272
2020,12,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",147.0,10.0,6.04,1.0,1.0,1.96,0.0,1.0,1070.0,838.0,141.0,24.0,67.0,0.06802721088435375,0.1271948327909665,0.18692323515342904
2020,12,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",84.0,14.0,6.24,0.96,6.8,0.0,1.0,1.0,2006.0,1164.0,619.0,223.0,0.0,0.16666666666666666,0.1271948327909665,0.172703413149273
2020,12,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",150.0,19.0,5.7,0.0,12.07,1.23,3.0,0.0,846.0,423.0,0.0,389.0,34.0,0.12666666666666668,0.1271948327909665,0.19665312699302678
2020,12,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",123.0,9.0,6.82,0.0,1.18,1.0,0.0,0.0,572.0,527.0,0.0,26.0,19.0,0.07317073170731707,0.1271948327909665,0.17965587616761775
2020,12,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",25.0,7.0,0.34,0.0,3.54,3.11,2.0,0.0,278.0,13.0,0.0,93.0,172.0,0.28,0.1271948327909665,0.1551677094625026
2020,12,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",59.0,5.0,3.15,0.0,1.48,0.37,0.0,0.0,218.0,155.0,0.0,47.0,16.0,0.0847457627118644,0.1271948327909665,0.1652620356512985
2020,12,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.5,0.1271948327909665,0.17839237404759772
2020,12,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",21.0,3.0,1.0,0.71,1.29,0.0,0.0,0.0,158.0,17.0,81.0,60.0,0.0,0.14285714285714285,0.1271948327909665,0.21796759590597953
2020,12,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",90.0,6.0,3.8,0.0,1.63,0.57,0.0,0.0,374.0,249.0,0.0,88.0,37.0,0.06666666666666667,0.1271948327909665,0.0895131086142322
2020,12,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",115.0,5.0,4.82,0.0,0.18,0.0,0.0,1.0,244.0,236.0,0.0,8.0,0.0,0.043478260869565216,0.1271948327909665,0.14691060477554374
2020,12,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",90.0,10.0,3.06,0.85,5.4,0.68,0.0,0.0,759.0,220.0,258.0,211.0,70.0,0.1111111111111111,0.1271948327909665,0.2759990450586298
2020,12,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",14.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,18.0,0.0,0.0,0.0,0.07142857142857142,0.1271948327909665,0.20232630576830116
2020,12,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",96.0,17.0,8.5,0.0,5.11,3.4,1.0,0.0,1064.0,558.0,0.0,200.0,306.0,0.17708333333333334,0.1271948327909665,0.17303791597093585
2020,12,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",106.0,5.0,3.7,0.0,1.3,0.0,0.0,0.0,230.0,205.0,0.0,25.0,0.0,0.04716981132075472,0.1271948327909665,0.12526393110309095
2020,12,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",213.0,12.0,6.42,2.96,0.92,1.71,0.0,0.0,542.0,279.0,202.0,25.0,36.0,0.056338028169014086,0.1271948327909665,0.15686916504132423
2020,12,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",86.0,1.0,0.59,0.0,0.0,0.41,1.0,1.0,17.0,10.0,0.0,0.0,7.0,0.011627906976744186,0.1271948327909665,0.1489903706977105
2020,12,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",61.0,6.0,3.03,0.0,2.65,0.32,1.0,0.0,209.0,121.0,0.0,67.0,21.0,0.09836065573770492,0.1271948327909665,0.17018936943489432
